pack_id,source_id,enabled_default,service,band,category,tags,type,label,channel,name_hint,rx_frequency,tx_frequency,duplex,offset,mode,tstep,tone,rtone_freq,ctone_freq,dtcs_code,dtcs_polarity,skip,tx_allowed,rx_only,license_note,comment,source,source_url,inferred_from_range
se_srbr_444_rx,se_srbr_444_rx_srbr_1_19,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 1,SRBR 1,SRBR 1,444.593750,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 1 | source_channel_number=19 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_2_20,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 2,SRBR 2,SRBR 2,444.606250,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 2 | source_channel_number=20 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_3_21,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 3,SRBR 3,SRBR 3,444.643750,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 3 | source_channel_number=21 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_4_22,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 4,SRBR 4,SRBR 4,444.656250,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 4 | source_channel_number=22 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_5_23,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 5,SRBR 5,SRBR 5,444.668750,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 5 | source_channel_number=23 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_6_24,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 6,SRBR 6,SRBR 6,444.681250,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 6 | source_channel_number=24 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_7_25,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 7,SRBR 7,SRBR 7,444.793750,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 7 | source_channel_number=25 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbs_8_26,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBS 8,SRBS 8,SRBS 8,444.806250,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBS 8 | source_channel_number=26 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_9_27,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 9,SRBR 9,SRBR 9,444.818750,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 9 | source_channel_number=27 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_10_28,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 10,SRBR 10,SRBR 10,444.831250,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 10 | source_channel_number=28 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_11_29,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 11,SRBR 11,SRBR 11,444.843750,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 11 | source_channel_number=29 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_12_30,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 12,SRBR 12,SRBR 12,444.856250,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 12 | source_channel_number=30 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_13_31,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 13,SRBR 13,SRBR 13,444.868750,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 13 | source_channel_number=31 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_14_32,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 14,SRBR 14,SRBR 14,444.881250,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 14 | source_channel_number=32 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_15_33,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 15,SRBR 15,SRBR 15,444.918750,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 15 | source_channel_number=33 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_16_34,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 16,SRBR 16,SRBR 16,444.931250,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 16 | source_channel_number=34 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_17_35,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 17,SRBR 17,SRBR 17,444.968750,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 17 | source_channel_number=35 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
se_srbr_444_rx,se_srbr_444_rx_srbr_18_36,true,srbr,444mhz,srbr_channel,srbr|444mhz|rx_only,RXOnly,SRBR 18,SRBR 18,SRBR 18,444.981250,,off,0.000000,FM,6.25,,,,,,,false,true,RX-only i detta kanalpaket. Sändning kräver rätt utrustning/användning enligt gällande regler.,SRBR 18 | source_channel_number=36 | rt880_source_mode=FM | rt880_bandwidth=Wide,"RT-880 Codeplug 1,2.csv (user-provided conversion source)",,false
